claim_id,claim_text,category,value_or_figure,source_type,source_detail,confidence,stage_safe,notes
CT-CAPEX-04,tailoring_unit: capex 'Initial fabric and accessories' unit cost Rs 15000 (qty 1),FEE_OR_COST,15000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-01,"tailoring_unit: monthly opex 'Raw material (fabric, thread)' Rs 8000",FEE_OR_COST,8000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-02,tailoring_unit: monthly opex 'Shop rent' Rs 3000,FEE_OR_COST,3000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-03,tailoring_unit: monthly opex 'Power and sundries' Rs 1000,FEE_OR_COST,1000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-05,dairy_unit: capex 'Milch buffalo' unit cost Rs 70000 (qty 2),FEE_OR_COST,70000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-06,dairy_unit: capex 'Shed construction' unit cost Rs 40000 (qty 1),FEE_OR_COST,40000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-07,dairy_unit: capex 'Chaff cutter and utensils' unit cost Rs 18000 (qty 1),FEE_OR_COST,18000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-08,dairy_unit: capex 'Initial feed stock' unit cost Rs 12000 (qty 1),FEE_OR_COST,12000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-04,dairy_unit: monthly opex 'Green and dry fodder' Rs 9000,FEE_OR_COST,9000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-05,dairy_unit: monthly opex 'Concentrate feed' Rs 4000,FEE_OR_COST,4000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-06,dairy_unit: monthly opex 'Veterinary and insurance' Rs 1200,FEE_OR_COST,1200,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-09,kirana_store: capex 'Opening stock' unit cost Rs 60000 (qty 1),FEE_OR_COST,60000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-10,kirana_store: capex 'Shelving and counter' unit cost Rs 25000 (qty 1),FEE_OR_COST,25000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-11,kirana_store: capex 'Weighing scale (electronic)' unit cost Rs 6000 (qty 1),FEE_OR_COST,6000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-12,kirana_store: capex 'Refrigerator (small)' unit cost Rs 18000 (qty 1),FEE_OR_COST,18000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-07,kirana_store: monthly opex 'Stock replenishment' Rs 35000,FEE_OR_COST,35000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-08,kirana_store: monthly opex 'Shop rent' Rs 4000,FEE_OR_COST,4000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-09,kirana_store: monthly opex 'Power and sundries' Rs 1500,FEE_OR_COST,1500,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-13,flour_mill: capex 'Flour mill machine with motor' unit cost Rs 55000 (qty 1),FEE_OR_COST,55000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-14,flour_mill: capex 'Electrical fitting and starter' unit cost Rs 12000 (qty 1),FEE_OR_COST,12000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-15,flour_mill: capex 'Platform and civil work' unit cost Rs 15000 (qty 1),FEE_OR_COST,15000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-16,flour_mill: capex 'Weighing scale and drums' unit cost Rs 8000 (qty 1),FEE_OR_COST,8000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-10,flour_mill: monthly opex 'Electricity' Rs 4500,FEE_OR_COST,4500,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-11,flour_mill: monthly opex 'Maintenance and spares' Rs 1500,FEE_OR_COST,1500,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-OPEX-12,flour_mill: monthly opex 'Shop rent' Rs 3000,FEE_OR_COST,3000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-17,beauty_parlour: capex 'Parlour chair and mirror station' unit cost Rs 14000 (qty 2),FEE_OR_COST,14000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
